Counter,ResNet50 Best Param,ResNet50 Val Acc,ResNet50 Test Acc,ResNet50 F1 score,ResNet50 Precision,ResNet50 Recall,ResNet50 True Neg.,ResNet50 False Pos.,ResNet50 False Neg.,ResNet50 True Pos.,ResNeXt50 Best Param,ResNeXt50 Val Acc,ResNeXt50 Test Acc,ResNeXt50 F1 score,ResNeXt50 Precision,ResNeXt50 Recall,ResNeXt50 True Neg.,ResNeXt50 False Pos.,ResNeXt50 False Neg.,ResNeXt50 True Pos.,ResNet101 Best Param,ResNet101 Val Acc,ResNet101 Test Acc,ResNet101 F1 score,ResNet101 Precision,ResNet101 Recall,ResNet101 True Neg.,ResNet101 False Pos.,ResNet101 False Neg.,ResNet101 True Pos.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Best Param,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Val Acc,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Test Acc,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 F1 score,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Precision,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 Recall,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 True Neg.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 False Pos.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 False Neg.,FeatSpaceEnsNet 4: ResNet50-ResNet101-ResNeXt50 True Pos.
0,{'logisticregression__C': 0.0001},83.12,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0,{'logisticregression__C': 0.001},77.92,82.29,0.82,0.82,0.82,116.0,28.0,23.0,121.0,{'logisticregression__C': 0.001},83.98,85.42,0.85,0.85,0.85,121.0,23.0,19.0,125.0,{'logisticregression__C': 0.001},84.42,84.38,0.84,0.84,0.84,120.0,24.0,21.0,123.0
1,{'logisticregression__C': 0.001},87.88,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0,{'logisticregression__C': 0.0001},83.98,80.21,0.8,0.8,0.8,111.0,33.0,24.0,120.0,{'logisticregression__C': 0.001},86.15,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,{'logisticregression__C': 0.001},86.15,83.33,0.83,0.83,0.83,120.0,24.0,24.0,120.0
2,{'logisticregression__C': 0.0001},81.39,82.99,0.83,0.83,0.83,119.0,25.0,24.0,120.0,{'logisticregression__C': 0.0001},78.35,81.25,0.81,0.81,0.81,116.0,28.0,26.0,118.0,{'logisticregression__C': 0.001},80.52,83.33,0.83,0.83,0.83,115.0,29.0,19.0,125.0,{'logisticregression__C': 0.001},80.09,84.38,0.84,0.84,0.84,121.0,23.0,22.0,122.0
3,{'logisticregression__C': 0.0001},84.42,84.72,0.85,0.85,0.85,122.0,22.0,22.0,122.0,{'logisticregression__C': 0.001},82.25,80.21,0.8,0.8,0.8,112.0,32.0,25.0,119.0,{'logisticregression__C': 0.0005},83.98,83.33,0.83,0.83,0.83,115.0,29.0,19.0,125.0,{'logisticregression__C': 0.001},87.01,84.72,0.85,0.85,0.85,118.0,26.0,18.0,126.0
4,{'logisticregression__C': 0.0005},81.82,83.68,0.84,0.84,0.84,120.0,24.0,23.0,121.0,{'logisticregression__C': 0.0001},79.65,80.9,0.81,0.81,0.81,114.0,30.0,25.0,119.0,{'logisticregression__C': 0.001},82.68,81.94,0.82,0.82,0.82,114.0,30.0,22.0,122.0,{'logisticregression__C': 0.001},84.85,85.07,0.85,0.85,0.85,118.0,26.0,17.0,127.0
5,{'logisticregression__C': 0.0001},84.42,86.11,0.86,0.86,0.86,123.0,21.0,19.0,125.0,{'logisticregression__C': 0.001},83.12,80.9,0.81,0.81,0.81,110.0,34.0,21.0,123.0,{'logisticregression__C': 0.0005},85.71,86.46,0.86,0.86,0.86,125.0,19.0,20.0,124.0,{'logisticregression__C': 0.001},87.45,85.07,0.85,0.85,0.85,122.0,22.0,21.0,123.0
6,{'logisticregression__C': 0.0005},87.88,85.07,0.85,0.85,0.85,122.0,22.0,21.0,123.0,{'logisticregression__C': 0.0001},85.71,80.56,0.81,0.81,0.81,112.0,32.0,24.0,120.0,{'logisticregression__C': 0.001},83.98,83.33,0.83,0.83,0.83,117.0,27.0,21.0,123.0,{'logisticregression__C': 0.001},86.58,84.03,0.84,0.84,0.84,119.0,25.0,21.0,123.0
7,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.0001},81.82,83.33,0.83,0.83,0.83,119.0,25.0,23.0,121.0,{'logisticregression__C': 0.0005},83.98,82.99,0.83,0.83,0.83,116.0,28.0,21.0,123.0,{'logisticregression__C': 0.0005},84.42,85.42,0.85,0.85,0.85,122.0,22.0,20.0,124.0
8,{'logisticregression__C': 0.0001},83.55,84.03,0.84,0.84,0.84,120.0,24.0,22.0,122.0,{'logisticregression__C': 0.0001},83.55,80.56,0.81,0.81,0.81,113.0,31.0,25.0,119.0,{'logisticregression__C': 0.001},80.52,82.64,0.83,0.83,0.83,115.0,29.0,21.0,123.0,{'logisticregression__C': 0.001},83.55,84.03,0.84,0.84,0.84,115.0,29.0,17.0,127.0
9,{'logisticregression__C': 0.0001},83.12,83.33,0.83,0.83,0.83,118.0,26.0,22.0,122.0,{'logisticregression__C': 0.0005},82.25,82.99,0.83,0.83,0.83,117.0,27.0,22.0,122.0,{'logisticregression__C': 0.0001},83.55,83.68,0.84,0.84,0.84,118.0,26.0,21.0,123.0,{'logisticregression__C': 0.001},86.15,84.72,0.85,0.85,0.85,119.0,25.0,19.0,125.0
4.5,,84.115,84.341,0.843,0.843,0.843,120.5,23.5,21.6,122.4,,81.85999999999999,81.32000000000001,0.8130000000000001,0.8130000000000001,0.8130000000000001,114.0,30.0,23.8,120.2,,83.505,83.61099999999999,0.835,0.835,0.835,117.3,26.7,20.5,123.5,,85.067,84.51499999999999,0.844,0.844,0.844,119.4,24.6,20.0,124.0
9.166666666666666,,4.871961111111106,0.9492322222222219,9.000000000000015e-05,9.000000000000015e-05,9.000000000000015e-05,2.7222222222222223,2.7222222222222223,2.044444444444445,2.0444444444444443,,6.310466666666665,1.3052222222222223,0.0001122222222222214,0.0001122222222222214,0.0001122222222222214,8.444444444444445,8.444444444444445,2.4000000000000004,2.4000000000000004,,3.4737388888888945,1.7930322222222215,0.00013888888888888913,0.00013888888888888913,0.00013888888888888913,11.344444444444443,11.344444444444443,1.3888888888888888,1.3888888888888888,,4.671667777777781,0.3811388888888879,4.888888888888897e-05,4.888888888888897e-05,4.888888888888897e-05,4.488888888888889,4.48888888888889,5.111111111111111,5.111111111111111
3.0276503540974917,,2.207251936483714,0.9742854931806292,0.009486832980505146,0.009486832980505146,0.009486832980505146,1.6499158227686108,1.6499158227686108,1.4298407059684815,1.429840705968481,,2.5120642242320685,1.1424632257636227,0.010593499054713764,0.010593499054713764,0.010593499054713764,2.9059326290271157,2.9059326290271157,1.5491933384829668,1.5491933384829668,,1.863796901190925,1.3390415311790078,0.011785113019775802,0.011785113019775802,0.011785113019775802,3.368151487751767,3.368151487751767,1.1785113019775793,1.1785113019775793,,2.161404121810121,0.6173644700571033,0.006992058987801016,0.006992058987801016,0.006992058987801016,2.1186998109427604,2.118699810942761,2.260776661041756,2.260776661041756
