Counter,HoG SVM Best Param,HoG SVM Val Acc,HoG SVM Test Acc,HoG SVM F1 score,HoG SVM Precision,HoG SVM Recall,HoG SVM True Neg.,HoG SVM False Pos.,HoG SVM False Neg.,HoG SVM True Pos.,LBP SVM Best Param,LBP SVM Val Acc,LBP SVM Test Acc,LBP SVM F1 score,LBP SVM Precision,LBP SVM Recall,LBP SVM True Neg.,LBP SVM False Pos.,LBP SVM False Neg.,LBP SVM True Pos.,HoG + LBP SVM Best Param,HoG + LBP SVM Val Acc,HoG + LBP SVM Test Acc,HoG + LBP SVM F1 score,HoG + LBP SVM Precision,HoG + LBP SVM Recall,HoG + LBP SVM True Neg.,HoG + LBP SVM False Pos.,HoG + LBP SVM False Neg.,HoG + LBP SVM True Pos.
0,{'linearsvc__C': 0.01},54.11,66.67,0.67,0.67,0.67,100.0,44.0,52.0,92.0,{'linearsvc__C': 10.0},64.07,67.01,0.67,0.67,0.67,102.0,42.0,53.0,91.0,{'linearsvc__C': 0.001},54.55,66.67,0.67,0.67,0.67,99.0,45.0,51.0,93.0
1,{'linearsvc__C': 0.1},54.98,62.5,0.62,0.63,0.62,83.0,61.0,47.0,97.0,{'linearsvc__C': 10.0},67.1,66.67,0.67,0.67,0.67,103.0,41.0,55.0,89.0,{'linearsvc__C': 0.01},55.41,62.5,0.62,0.63,0.62,83.0,61.0,47.0,97.0
2,{'linearsvc__C': 0.001},54.55,64.24,0.64,0.64,0.64,88.0,56.0,47.0,97.0,{'linearsvc__C': 10.0},67.97,67.36,0.67,0.67,0.67,102.0,42.0,52.0,92.0,{'linearsvc__C': 0.001},54.98,63.89,0.64,0.64,0.64,89.0,55.0,49.0,95.0
3,{'linearsvc__C': 0.001},58.87,59.72,0.6,0.6,0.6,84.0,60.0,56.0,88.0,{'linearsvc__C': 10.0},70.56,68.75,0.69,0.69,0.69,106.0,38.0,52.0,92.0,{'linearsvc__C': 0.001},59.74,60.07,0.6,0.6,0.6,84.0,60.0,55.0,89.0
4,{'linearsvc__C': 0.01},59.31,64.58,0.65,0.65,0.65,94.0,50.0,52.0,92.0,{'linearsvc__C': 10.0},72.73,67.36,0.67,0.67,0.67,102.0,42.0,52.0,92.0,{'linearsvc__C': 0.001},59.31,64.93,0.65,0.65,0.65,95.0,49.0,52.0,92.0
5,{'linearsvc__C': 0.001},61.04,62.5,0.62,0.62,0.62,90.0,54.0,54.0,90.0,{'linearsvc__C': 1.0},64.07,68.75,0.69,0.69,0.69,101.0,43.0,47.0,97.0,{'linearsvc__C': 0.001},61.47,62.15,0.62,0.62,0.62,89.0,55.0,54.0,90.0
6,{'linearsvc__C': 0.01},56.71,62.85,0.63,0.63,0.63,84.0,60.0,47.0,97.0,{'linearsvc__C': 10.0},66.67,68.06,0.68,0.68,0.68,101.0,43.0,49.0,95.0,{'linearsvc__C': 0.001},58.01,63.54,0.63,0.64,0.64,85.0,59.0,46.0,98.0
7,{'linearsvc__C': 0.001},54.98,65.28,0.65,0.65,0.65,98.0,46.0,54.0,90.0,{'linearsvc__C': 10.0},71.43,67.01,0.67,0.67,0.67,102.0,42.0,53.0,91.0,{'linearsvc__C': 0.001},56.28,65.97,0.66,0.66,0.66,98.0,46.0,52.0,92.0
8,{'linearsvc__C': 0.01},60.61,65.62,0.66,0.66,0.66,94.0,50.0,49.0,95.0,{'linearsvc__C': 0.1},67.1,67.36,0.67,0.67,0.67,99.0,45.0,49.0,95.0,{'linearsvc__C': 0.001},61.47,66.32,0.66,0.66,0.66,96.0,48.0,49.0,95.0
9,{'linearsvc__C': 0.001},62.34,64.93,0.65,0.65,0.65,95.0,49.0,52.0,92.0,{'linearsvc__C': 1.0},70.56,67.36,0.67,0.67,0.67,99.0,45.0,49.0,95.0,{'linearsvc__C': 0.001},61.9,65.28,0.65,0.65,0.65,95.0,49.0,51.0,93.0
4.5,,57.75,63.88900000000001,0.639,0.64,0.639,91.0,53.0,51.0,93.0,,68.226,67.569,0.675,0.675,0.675,101.7,42.3,51.1,92.9,,58.312,64.13199999999999,0.64,0.6420000000000001,0.6410000000000001,91.3,52.7,50.6,93.4
9.166666666666666,,9.297422222222231,4.074254444444449,0.0004544444444444452,0.000422222222222223,0.0004544444444444452,37.333333333333336,37.333333333333336,10.88888888888889,10.88888888888889,,9.001537777777806,0.5153877777777764,7.222222222222162e-05,7.222222222222162e-05,7.222222222222162e-05,4.011111111111111,4.011111111111111,6.1,6.099999999999999,,8.194617777777783,4.451373333333333,0.0004888888888888898,0.0004400000000000009,0.0004766666666666675,36.23333333333333,36.23333333333333,8.266666666666667,8.266666666666667
3.0276503540974917,,3.0491674637878172,2.0184782496832727,0.021317702607092662,0.020548046676563275,0.021317702607092662,6.110100926607787,6.110100926607787,3.2998316455372216,3.2998316455372216,,3.0002562853492707,0.7179051314608195,0.00849836585598794,0.00849836585598794,0.00849836585598794,2.0027758514399734,2.0027758514399734,2.4698178070456938,2.4698178070456938,,2.862624281630019,2.109827797080447,0.022110831935702686,0.02097617696340305,0.02183269719175044,6.019413038937711,6.019413038937711,2.8751811537130436,2.8751811537130436
